original,new
Geo Point,geo_point
Geo Shape,geo_shape
bikeace,bike_race
City,city
BikePos,bike_position
NumUnits,num_units
CrashHour,crash_hour
Locality,locality
BikeSex,bike_sex
DrvrVehTyp,driver_vehicle_type
NumBikesNo,num_bikes_no
BikeAlcDrg,bike_alcohol_drugs
NumBikesBI,num_bikes_bi
RteInvdCd,rte_invd_cd
DrvrRace,driver_race
Workzone,workzone
NumBikesCi,num_bikes_ci
BikeAgeGrp,bike_age_group
CrashType,crash_type
RdDefects,road_defects
CrashAlcoh,crash_alcohol
BikeAlcoho,bike_alcohol
RdConditio,road_condition
DstncMiFrm,distance_mi_from
RuralUrban,rural_urban
HitRun,hit_run
CrashDate,crash_date
NumBikesUI,num_bikes_ui
CrashTime,crash_time
DrvrSex,driver_sex
DrvrAlcoho,driver_alcohol
Developmen,development
CrashSevr,crash_severity
AmbulanceR,ambulance_req
DrvrInjury,driver_injury
OBJECTID,object_id
CrashMonth,crash_month
NumBikesKi,num_bikes_ki
RdCharacte,road_character
Region,region
BikeDir,bike_direction
TraffCntrl,traffic_control
CrashDay,crash_day
CrashLoc,crash_location
BikeAge,bike_age
NumBikesTo,num_bikes_to
RdConfig,road_configuration
NumLanes,num_lanes
NumBikesAI,num_bikes_ai
DrvrAlcDrg,driver_alcohol_drugs
OnRoad,on_road
RdSurface,road_surface
Towrd_Rd,towrd_road
RdFeature,road_feature
CrashGrp,crash_group
RdClass,road_class
BikeInjury,bike_injury
County,county
DrvrAge,driver_age
Weather,weather
FrmRd,frm_road
DrvrEstSpd,driver_est_speed
SpeedLimit,speed_limit
CrashYear,crash_year
LightCond,light_condition
DrvrAgeGrp,driver_age_group