"pets","us_region","class_year","hair_color","campus","watch_sports","beyonce_love","fav_artist","social_network","relationship_status","num_siblings","num_languages","nights_drinking","pbj_or_n","tenting","countries_visited","first_kiss","hours_watching_television","perimeter","fav_campus_eatery","fb_visits_per_day","ac","condiment","vegetarian","voted_for_president","social_club","space_time","university_applications","pizza_consumption","sick","games_attended","pepsi_or_coke","fav_friend_character","continents_visited","game_of_thrones","netflix_binge_show","chipotle_order","fav_pokemon","first_tooth","fav_cheese","cat_or_dog","fav_late_night_food","fav_dessert_flavor","fav_off_campus_restaurant","vending_machine","multicultural","smell","parents_age","marketplace_worst_meal","best_book_turned_show","fav_fantasy_universe","hogwarts_house","shooters"
"1","Southeast","Sophomore","Brown","West","Basketball","hell yes","none of these","Instagram","yes","1","2","2","Some combination of two","none","5","13","5","What even is the Perimeter ","Divinity Refectory","3","Yes","Sriracha","no","no, I was not eligible due to age or citizenship status","SLG","Time","5","3","1","7","Coke","Chandler","3","I don't know what you are talking about.","Gilmore Girls","Burrito Bowl","Charizard","7","Brie","Dog","Pitchforks","sweet-and-salty","Parker and Otis","Shhhhh!","No","Bakery","52","powdered eggs","Harry Potter","Harry Potter","Hufflepuff (because I'm good at something)","1"
"0","New England","Sophomore","Brown","Central","Basketball","hell yes","Beyonce","Facebook","no","1","1","4","Peanut butter","none","4","11","2","Inside","The Loop","20","Yes","Maple Syrup","no","no, I was eligible but chose not to vote","Greek life","Time","6","9","4","3","Pepsi","Rachel","1","I don't know what you are talking about.","Friends","Hard tacos","Jigglypuff","8","Feta","Dog","Pizza","sweet-and-salty","Parker and Otis","Sometimes","No","Clean Laundry","51","powdered eggs","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","6"
"1","Midwest","Junior","Brown","East","I don't watch sports","hell yes","none of these","Snapchat","no","2","2","0.5","Peanut butter","none","10","15","4","What even is the Perimeter ","Divinity Refectory","5","No","Honey Mustard","no","yes","Greek life","Time","14","1","0","3","Neither they're nasty","Joey","2","House Targaryen","House of Cards","Burrito Bowl","Jigglypuff","6","Goat","Cat","Cosmic","fruity","Parker and Otis","Shhhhh!","Yes","Bakery","52","chocolate covered crickets","Lord of the Rings/Hobbit","Lord of the Rings","Hufflepuff (because I'm good at something)","1"
"1","Mid-Atlantic","Sophomore","Brown","Off campus","Other","yes","none of these","Snapchat","it's complicated","2","1","3","Some combination of two","none","4","12",NA,"What even is the Perimeter ","Edens Cafe (lol)","2","Yes","Ketchup","no","yes","Athletic Team","Time","1","0","3","1","Coke","Joey","3","I don't know what you are talking about.","House of Cards","Salad","Charizard","6","Brie","Dog","Cookout","chocolate","Parker and Otis","No","No","Clean Laundry","55","chocolate covered crickets","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","11"
"0","Southeast","Sophomore","Black","East","Football","hell yes","Kendrick Lamar","Facebook","it's complicated","9","1","0","Some combination of two","none","1","10","9","What even is the Perimeter ","Edens Cafe (lol)","3","No","Honey Mustard","no","yes","Independent","Time","20","0","2","5","Coke","Joey","1","I don't know what you are talking about.","Breaking Bad","Burrito","Jigglypuff","9","Cheddar","Dog","Cookout","fruity","Cosmic","No","Yes","Bakery","40","salad bar","Hunger Games","Harry Potter","Ravenclaw (because I'm better than you)","0"
"0","Midwest","Junior","Black","West","I don't watch sports","meh","Kanye West","Yikyak","no","1","4","1","Peanut butter","none","5","18","13","What even is the Perimeter ","None of the above","3","Yes","Ketchup","no","no, I was eligible but chose not to vote","Independent","Outer space","3","8","0","0","Neither they're nasty","Chandler","3","House Martell","House of Cards","Burrito Bowl","Charizard","8","None of the above","Dog","Pitchforks","fruity","Chipotle","Sometimes","Yes","Bakery","55","chocolate covered crickets","Game of Thrones","Game of Thrones","Ravenclaw (because I'm better than you)","0"
NA,"Not from the US","Sophomore","Brown","West","Soccer","hell yes","Beyonce","Twitter","no","0","3","0","Nutella","none","4","18","4","What even is the Perimeter ","Divinity Refectory","5","Yes","Ketchup","no","no, I was not eligible due to age or citizenship status","Independent","Time","4","8","0","0","Coke","Joey","2","House Stark","How I Met Your Mother","Burrito","Charizard","6","None of the above","Dog","Pizza","vanilla","Chipotle","Shhhhh!","Yes","Bakery","55","watery pasta","Harry Potter","Harry Potter","Slytherin (because I'll cut you)","0"
"2","Southeast","Junior","Blonde","West","Basketball","hell yes","Beyonce","Instagram","no","1","2","3","Nutella","none","12","18","5","What even is the Perimeter ","Edens Cafe (lol)","5","No","Ketchup","no","yes","Greek life","Time","4","2","5","2","Coke","Rachel","2","I don't know what you are talking about.","Friends","Burrito Bowl","Jigglypuff","4","Goat","Dog","Pitchforks","chocolate","Parker and Otis","Sometimes","Yes","Clean Laundry","50.5","watery pasta","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","5"
"1","Southeast","Junior","Black","Central","I don't watch sports","I don't care. #teamnicki","none of these","Snapchat","yes","0","2","0","Nutella","none","5","16","1","Inside","Divinity Refectory","0","Yes","Ketchup","no","yes","Greek life","Time","12","0","0","0","Coke","Rachel","2","House Targaryen","Gilmore Girls","Salad","Rayquaza","6","Pepperjack","Dog","Cookout","chocolate","Chamas","No","No","Bakery","50","chocolate covered crickets","Harry Potter","Legend of Zelda","Slytherin (because I'll cut you)","0"
"1","Mid-Atlantic","Junior","Brown","Central","Basketball","hell yes","Taylor swift","Instagram","no","2","2","1","Some combination of two","blue","17","13","1","All of the Above","Edens Cafe (lol)","5","No","Honey Mustard","no","yes","Greek life","Time","10","2","0","5","Coke","Phoebe","6","House Stark","House of Cards","Burrito Bowl","Jigglypuff","6","Brie","Dog","Pizza","chocolate","Chamas","No","No","Pizza","57","watery pasta","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","1"
"1","Southwest","Sophomore","Black","West","Basketball","I don't care. #teamnicki","none of these","Youtube","no","1","2","1","Some combination of two","unsure","20","15","5","Outside","The Loop","10","Yes","Honey Mustard","no","no, I was not eligible due to age or citizenship status","Independent","Outer space","11","1","1","0","Neither they're nasty","Chandler","5","House Targaryen","Friends","Burrito Bowl","Charizard","6","Brie","Cat","Pizza","chocolate","Chipotle","Sometimes","Yes","Bakery","50","powdered eggs","Lord of the Rings/Hobbit","Harry Potter","Ravenclaw (because I'm better than you)","1"
"1","Southeast","Junior","Blonde","West","Other","yes","none of these","Instagram","no","1","1","1","All three","none","6","16","14","What even is the Perimeter ","The Loop","15","Yes","Honey Mustard","no","yes","Independent","Time","1","1","0","3","Coke","Phoebe","3","House Targaryen","House of Cards","Burrito","Rayquaza","5","None of the above","Dog","Cookout","chocolate","Chipotle","Sometimes","Yes","Clean Laundry","59","chocolate covered crickets","Harry Potter","Harry Potter","Slytherin (because I'll cut you)","1"
"0","Southeast","Junior","Brown","West","Soccer","meh","none of these","Snapchat","no","1","3","1","Some combination of two","none","4",NA,"10","What even is the Perimeter ","Blue Express","4","Yes","Maple Syrup","yes","no, I was eligible but chose not to vote","SLG","Time","9","2","0","3","Coke","Phoebe","2","House Targaryen","House of Cards","Burrito","Rayquaza","5","Pepperjack","Dog","Pitchforks","chocolate","Chipotle","Shhhhh!","Yes","Bakery","47","watery pasta","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","0"
"2","Southeast","Sophomore","Brown","East","Football","yes","Beyonce","Facebook","no","2","2","0","Some combination of two","white","6","16","0","Outside","The Loop","4","Yes","Honey Mustard","no","yes","SLG","Time","4","3","0","8","Coke","Rachel","1","I don't know what you are talking about.","How I Met Your Mother","Burrito Bowl","Charizard","8","Pepperjack","Dog","Pizza","vanilla","Cosmic","No","No","Pine","50","powdered eggs","Lord of the Rings/Hobbit","Lord of the Rings","Gryffindor (because I'm a badass)","0"
"0","New England","Junior","Brown","Off campus","Basketball","hell yes","Taylor swift","Snapchat","no","1","1","5","Some combination of two","none","24","14","10","Outside","Divinity Refectory","5","Yes","Honey Mustard","no","yes","Greek life","Time","11","4","5","5","Neither they're nasty",NA,"5","I don't know what you are talking about.","Breaking Bad","Burrito","Jigglypuff","7","Brie","Dog","Cookout","chocolate","Parker and Otis","Sometimes","Yes","Pizza","56","chocolate covered crickets","Hunger Games","Harry Potter","Gryffindor (because I'm a badass)","8"
"0","Midwest","Junior","Red","Off campus","Football","meh","none of these","Facebook","no","1","2","3","Some combination of two","none","20","18","1","What even is the Perimeter ","None of the above","10","Yes","Maple Syrup","no","yes","Greek life","Time","1","6","0","15","Coke","Rachel","3","I don't know what you are talking about.","Friends","Burrito Bowl","Blastoise","9","None of the above","Dog","Pizza","vanilla","Chipotle","Shhhhh!","No","Clean Laundry","65","salad bar","Harry Potter","Harry Potter","Hufflepuff (because I'm good at something)","0"
"0","Mid-Atlantic","Sophomore","Black","West","Basketball","hell yes","none of these","Facebook","no","1","1","2","Some combination of two","unsure","4","14","0","Outside","Blue Express","20","Yes","Sriracha","no","yes","Greek life","Time","11","1","0","2","No preference","Chandler","2","House Stark","Friends","Burrito Bowl","Blastoise","6","Cheddar","Dog","Cookout","chocolate","Parker and Otis","No","No","Clean Laundry","55.5","salad bar","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","1"
"1","Mid-Atlantic","Senior","Brown","Off campus","Soccer","yes","none of these","I don't use social media","no","1","2","0","Some combination of two","none","9","17","3","What even is the Perimeter ","Blue Express","0","Yes","Honey Mustard","no","no, I was eligible but chose not to vote","SLG","Outer space","1","1","0","1","Neither they're nasty","Rachel","3","I don't know what you are talking about.","How I Met Your Mother","Burrito","Blastoise","6","None of the above","Cat","Cookout","sweet-and-salty","Parker and Otis","No","Yes","Bakery","54","powdered eggs","Harry Potter","Harry Potter","Hufflepuff (because I'm good at something)","0"
"1","Southeast","Junior","Red","Central","Football","I don't care. #teamnicki","Taylor swift","Snapchat","yes","2","1","5","Peanut butter","none","10","14","8","Inside","Blue Express","30","Yes","Honey Mustard","no","yes","Greek life","Time","12","5","2","5","Neither they're nasty","Chandler","5","House Lannister","Friends","Margarita (no food)","Blastoise","6","Feta","Dog","Cookout","chocolate","Chipotle","No","No","Bakery","51","watery pasta","Game of Thrones","Game of Thrones","Gryffindor (because I'm a badass)","1"
"1","Pacific Northwest","Senior","Brown","Off campus","Football","yes","Taylor swift","Facebook","yes","2","2","0","All three","none","6","18","1",NA,"Blue Express","5","Yes","Maple Syrup","no","no, I was eligible but chose not to vote","Greek life","Time","11","0","0","2","Coke",NA,"3","I don't know what you are talking about.","Gilmore Girls","Burrito Bowl",NA,NA,"Cheddar","Dog","Cookout","chocolate","Chipotle","No","No","Pine","54",NA,"Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","0"
"0","Mid-Atlantic","First-year","Blonde","East","Basketball","yes","none of these","Snapchat","no","2","2","3","Some combination of two","blue","14","16","3","What even is the Perimeter ","Divinity Refectory","3","No","Ketchup","no","no, I was not eligible due to age or citizenship status","Independent","Time","3","2","1","5","Coke","Chandler","4","I don't know what you are talking about.","Friends","Quesadilla","Jigglypuff","5","None of the above","Dog","Pizza","sweet-and-salty","Parker and Otis","Sometimes","No","Pizza","51","chocolate covered crickets","Hunger Games","Lord of the Rings","Hufflepuff (because I'm good at something)","1"
"1","Not from the US","Junior","Black","Central","Basketball","hell yes","Beyonce","Facebook","no","2","3","1","Nutella","none","11","8","2","What even is the Perimeter ","The Loop","10","Yes","Ketchup","no","no, I was not eligible due to age or citizenship status","Independent","Time","1","2","4","2","Coke","Chandler","7","House Tyrell","House of Cards","Burrito Bowl","Venusaur","4","None of the above","Cat","Cookout","vanilla","Parker and Otis","Sometimes","Yes","Pine","50","watery pasta","Harry Potter","Game of Thrones","Gryffindor (because I'm a badass)","2"
"3","Southeast","Sophomore","Brown","West","I don't watch sports","meh","none of these","Facebook","no","4","2","0","Nutella","blue","11","19","5","What even is the Perimeter ","Divinity Refectory","6","Yes","Sriracha","no","yes","Independent","Time","7","10","0","0","Neither they're nasty","Phoebe","7","House Targaryen","Friends","Burrito Bowl","Rayquaza","5","None of the above","Dog","Pizza","chocolate","Harris Teeter's","Yes","No","Bakery","54","powdered eggs","Lord of the Rings/Hobbit","Harry Potter","Gryffindor (because I'm a badass)","0"
"0","Southeast","First-year","Black","East","Basketball","meh","none of these","Facebook","yes","1","2","0","Peanut butter","none","5","10","2","What even is the Perimeter ","Divinity Refectory","2","Yes","Sriracha","no","no, I was not eligible due to age or citizenship status","Independent","Time","23","0","5","0","Neither they're nasty","Joey","3","I don't know what you are talking about.","House of Cards","Burrito","Jigglypuff","6","Cheddar","Dog","Pizza","vanilla","Chipotle","No","Yes","Clean Laundry","52","watery pasta","Harry Potter","Harry Potter","Hufflepuff (because I'm good at something)","0"
"0","Southeast","Junior","Brown","West","Basketball","I don't care. #teamnicki","Kendrick Lamar","I don't use social media","no","1","1","0","Peanut butter","none","0","15","10","What even is the Perimeter ","Edens Cafe (lol)","0","Yes","Honey Mustard","no","no, I was eligible but chose not to vote","Independent","Time","3","4","0","5","Neither they're nasty","Chandler","1","House Lannister","House of Cards","Quesadilla","Charizard","6","Cheddar","Dog","Pizza","chocolate","Satisfactions","Yes","Yes","Clean Laundry","48","watery pasta","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","0"
"0","California","Junior","Black","West","Other","hell yes","none of these","Instagram","no","1","3","1","All three","unsure","12","15","6","What even is the Perimeter ","None of the above","30","Yes","Soy Sauce","no","yes","Greek life","Time","13","3","4","1","Coke","Monica","5","House Targaryen","Friends","Burrito","Charizard","3","Brie","Dog","Cookout","vanilla","Satisfactions","Sometimes","Yes","Bakery","52","chocolate covered crickets","Harry Potter","Harry Potter","Hufflepuff (because I'm good at something)","3"
"1","Midwest","Sophomore","Brown","West","Football","hell yes","Beyonce","Instagram","no","0","1","1","Peanut butter","none","2","17","1","Inside","Edens Cafe (lol)","5","Yes","Soy Sauce","no","no, I was not eligible due to age or citizenship status","Athletic Team","Time","1","2","0","10","Coke","Rachel","1","House Stark","How I Met Your Mother","Burrito Bowl","Jigglypuff","2","Cheddar","Dog","Cookout","vanilla","Chipotle","No","Yes","Bakery","50","chocolate covered crickets","Hunger Games","Game of Thrones","Hufflepuff (because I'm good at something)","6"
"0","Not from the US","Sophomore","Brown","West","Soccer","yes","Taylor swift","Facebook","no","0","0","0","Nutella","none","8","9","2","What even is the Perimeter ","Divinity Refectory","15","Yes","Soy Sauce","no","no, I was not eligible due to age or citizenship status","Athletic Team","Time","3","0","0","1","Coke","Phoebe","4","House Stark","How I Met Your Mother","Burrito","Blastoise","6","Cheddar","Dog","Pizza","chocolate","Chipotle","Shhhhh!","Yes","Pine","60","salad bar","Harry Potter","Harry Potter","Hufflepuff (because I'm good at something)","1"
"0","Mid-Atlantic","First-year","Blonde","East","Basketball","yes","none of these","Snapchat","no","2","2","3","Some combination of two","blue","14","18","3","What even is the Perimeter ","The Loop","3","No","Ketchup","no","no, I was not eligible due to age or citizenship status","Independent","Time","3","3","1","5","Coke","Chandler","4","I don't know what you are talking about.","Friends","Quesadilla","Jigglypuff","5","None of the above","Dog","Pizza","sweet-and-salty","Parker and Otis","Sometimes","No","Pizza","51","chocolate covered crickets","Hunger Games","Game of Thrones","Hufflepuff (because I'm good at something)","1"
"1","Southeast","Sophomore","Black","East","Other","hell yes","Kanye West","Twitter","no","1","2","0","Jelly","unsure","10","1","1","All of the Above","Divinity Refectory","4","No","Sriracha","no","yes","SLG","Outer space","9","1","0","2","No preference","Joey","4","I don't know what you are talking about.","How I Met Your Mother","Burrito","Jigglypuff","7","None of the above","Dog","Cookout","chocolate","Chipotle","No","Yes","Clean Laundry","50","the giant roasted hog","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","0"
"0","Mid-Atlantic","Junior","Black","West","Basketball","no","none of these","Youtube","yes","0","2","3","Peanut butter","none","10","4","12","Outside","The Loop","0","Yes","Ketchup","no","yes","Independent","Time","9","2","3","5","Neither they're nasty","Joey","3","I don't know what you are talking about.","House of Cards","Burrito Bowl","Charizard","5","Brie","Dog","Cosmic","vanilla","Chipotle","Sometimes","Yes","Sharpie","52.5","watery pasta","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","0"
"2","New England","Junior","Black","West","Basketball","I don't care. #teamnicki","Kendrick Lamar","Snapchat","yes","1","2","0","All three","unsure","9","14","0","All of the Above","Edens Cafe (lol)","10","Yes","Honey Mustard","yes","yes","Independent","Time","4","1","3","8","No preference","Phoebe","4","House Targaryen","How I Met Your Mother","Burrito","Rayquaza","7","Brie","Cat","Pizza","fruity","Parker and Otis","Shhhhh!","Yes","Clean Laundry","49","the giant roasted hog","Hunger Games","Legend of Zelda","Hufflepuff (because I'm good at something)","1"
"2","New England","Sophomore","Blonde","Central","Football","meh","none of these","Snapchat","no","2","2","5","Some combination of two","none","30","13","6","Outside","Edens Cafe (lol)","8","Yes","Sriracha","yes","yes","Greek life","Outer space","2","1","2","1","Neither they're nasty","Rachel","4","House Targaryen","House of Cards","Margarita (no food)","Jigglypuff","9","None of the above","Dog","Pizza","chocolate","Parker and Otis","Sometimes","No","Old Spice/Axe/Perfume","63","watery pasta","Harry Potter","Harry Potter","Slytherin (because I'll cut you)","10"
"5","Southeast","Sophomore","Brown","West","Basketball","meh","Taylor swift","Instagram","yes","2","2","0","Some combination of two","none","6","14","1",NA,"The Loop","1","Yes","Maple Syrup","no","no, I was not eligible due to age or citizenship status","Greek life","Time","1","2","0","10","Neither they're nasty",NA,"2","I don't know what you are talking about.",NA,"Soft tacos",NA,NA,"None of the above","Dog","Cookout","vanilla","Harris Teeter's","No","Yes","Pizza","44","watery pasta","Hunger Games",NA,NA,"0"
"1","Not from the US","First-year","Brown","East","Soccer","hell yes","Beyonce","Snapchat","no","1","2-3","2","Nutella","black","7","15","2","Outside","Divinity Refectory","15","No","Sriracha","no","no, I was not eligible due to age or citizenship status","Greek life","Time","2","3","17","3","Coke","Rachel","1","House Stark","Friends","Burrito","Jigglypuff","5","Brie","Cat","Cosmic","sour","Chipotle","Yes","Yes","Pine","50","watery pasta","Game of Thrones","Harry Potter","Slytherin (because I'll cut you)","8"
"0","Southeast","Junior","Black","West","Football","yes","none of these","Twitter","no","2","1","2","Some combination of two","none","20","15","20","Outside","The Loop","10","Yes","Maple Syrup","no","yes","Independent","Time","1","3","5","3","Coke","Rachel","6","House Stark","House of Cards","Burrito Bowl","Jigglypuff","5","Goat","Dog","Jimmy John's","fruity","Chipotle","No","Yes","Pizza","44","chocolate covered crickets","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","1"
"1","Southeast","Junior","Blonde","East","I don't watch sports","meh","Taylor swift","Instagram","yes","2","2","1","Some combination of two","none","13","13","3","Inside","Edens Cafe (lol)","3","No","Ketchup","no","yes","Greek life","Time","8","2","12","2","Coke","Rachel","2","House Targaryen","Gilmore Girls","Burrito Bowl","Jigglypuff","6","Brie","Cat","Cookout","sweet-and-salty","Cosmic","Sometimes","No","Bakery","51","powdered eggs","Lord of the Rings/Hobbit","Lord of the Rings","Ravenclaw (because I'm better than you)","1"
"0","Southeast","Sophomore","Brown","West","Basketball","yes","none of these","Facebook","no","1","2","1","Some combination of two","black","8","12","5","What even is the Perimeter ","The Loop","5","Yes","Honey Mustard","no","no, I was not eligible due to age or citizenship status","Independent","Time","1","3","0","15","No preference","Chandler","2","I don't know what you are talking about.","Friends","Burrito Bowl","Charizard","5","Cheddar","Dog","Pizza","chocolate","Satisfactions","Sometimes","No","Old Spice/Axe/Perfume","49","powdered eggs","Harry Potter","Harry Potter","Gryffindor (because I'm a badass)","1"
"0","Southeast","Senior","Black","Off campus","Soccer","hell yes","Taylor swift","Instagram","no","1",NA,"2","Nutella","none","3","7","8","All of the Above","Divinity Refectory","2","Yes","Sriracha","no","yes","Independent","Time","2","2","0","0","Coke","Phoebe","3","I don't know what you are talking about.","Gilmore Girls","Burrito Bowl","Charizard","6","Brie","Dog","Cookout","chocolate","Chipotle","Shhhhh!","Yes","Pizza","60","watery pasta","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","2"
"0","California","First-year","Black","East","Basketball","yes","none of these","Facebook","no","1","1","0","Nutella","none","10",NA,"5","All of the Above","Divinity Refectory","4","Yes","Honey Mustard","no","no, I was not eligible due to age or citizenship status","Independent","Time","1","1","4","1","No preference","Phoebe","4","I don't know what you are talking about.","Friends","Burrito","Charizard","4","Goat","Cat","Pizza","sweet-and-salty","Chipotle","No","Yes","Clean Laundry","53","salad bar","Harry Potter","Harry Potter","Hufflepuff (because I'm good at something)","0"
"1","Southeast","Sophomore","Brown","West","Other","hell yes","Kanye West","Twitter","no","3","1","2","None","none","1","10","10","What even is the Perimeter ","None of the above","2","No","Ketchup","no","no, I was not eligible due to age or citizenship status","Independent","Time","4","2","0","3","Coke","Rachel","2","I don't know what you are talking about.","House of Cards","Burrito","Jigglypuff","3","Feta","Dog","Jimmy John's","chocolate","Chipotle","No","No","Pine","44.5","powdered eggs","Harry Potter","Harry Potter","Ravenclaw (because I'm better than you)","2"
